placavehiculo,cilindraje,modelovehiculo,clasedevehiculo,tipodeservicio,numeromotorvehiculo,numerochasis,capacidadpasajeros,numerofacturadeventa,tipodecombustible,estado
LXG97E,178.6,2018,MOTOCICLETA,PARTICULAR,DJZCGG63321,9FLA12DZXJAG98118,1,25370,GASOLINA,ACTIVO
ABO292,2694,2011,CAMIONETA,PARTICULAR,2TR6907559,MR1ZX69G8B8009116,7,,GASOLINA,ACTIVO
TND294,2300,1995,MICRO BUS,PUBLICO,TNB352,TS95272006,13,3,GASOLINA,INSERVIBLE
LYM85A,115,2007,MOTOCICLETA,PARTICULAR,3HB355807,9FK5JV11F72355807,1,1121,GASOLINA,ACTIVO
ITP610,1300,1994,AUTOMOVIL,PARTICULAR,344613,323HB23954,4,6703,GASOLINA,ACTIVO
WIO71A,178,2011,MOTOCICLETA,PARTICULAR,DJGBTG61211,MD2DJB5Z9BVF00808,1,2004,GASOLINA,ACTIVO
DTF92D,124.8,2014,MOTOCICLETA,PARTICULAR,E3M2E060935,9FKKE2015E2060935,1,3743,GASOLINA,ACTIVO
WGX75D,154.9,2017,MOTOCICLETA,PARTICULAR,BGA1-301064,9FSNG4BD9HC103990,1,25,GASOLINA,ACTIVO
AMM35,125,1996,MOTOCICLETA,PARTICULAR,3TL-074298,3TL074298,1,3934,GASOLINA,ACTIVO
SMI354,1051,2009,AUTOMOVIL,PUBLICO,LJ465Q1AE6805085623,LZWACAGAX91000625,7,854,GASOLINA,ACTIVO
MSU182,1400,2014,AUTOMOVIL,PARTICULAR,LCU*132250453*,9GASA62M9EB030466,5,7236,GASOLINA,ACTIVO
